valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo
0.48,2018,0.125,Bruno Mars,0.63,224131,0.471,FALSE,bx3bu6,0.046,5,0.052,-9.82,0,Levitating,91,0.024,138.16
0.6,2015,0.085,Adele,0.704,276276,0.625,TRUE,ynizbt,0.036,11,0.081,-6.04,0,Bad Guy,84,0.093,88.11
0.56,2017,0.189,Neha Kakkar,0.885,252409,0.625,FALSE,9n4ohn,0.029,8,0.29,-3.24,0,Tera Ban Jaunga,67,0.063,111.07
0.94,2020,0.629,Kishore Kumar,0.499,228190,0.808,FALSE,886e1g,0.128,11,0.133,-9.49,0,Tum Hi Ho,73,0.073,111.39
0.2,2014,0.585,Adele,0.78,278806,0.785,FALSE,ioozm5,0.095,3,0.191,-4.44,0,Thinking Out Loud,72,0.068,107.79
0.85,2017,0.518,Billie Eilish,0.548,289556,0.836,FALSE,t3k1y6,0.041,10,0.157,-3.46,0,Hello,52,0.021,105.75
0.33,2014,0.233,Dhvani Bhanushali,0.484,241087,0.659,FALSE,lbcqbb,0.062,6,0.12,-2.73,0,Tum Hi Ho,51,0.062,101.34
0.75,2018,0.228,Atif Aslam,0.764,247863,0.635,FALSE,vkp6if,0.104,2,0.198,-4.58,0,Main Rahoon Ya Na Rahoon,75,0.061,85.85
0.44,2012,0.438,Armaan Malik,0.819,181802,0.571,TRUE,w438gp,0.123,8,0.179,-7.91,0,Bekhayali,97,0.097,109.08
0.4,2020,0.594,Atif Aslam,0.849,186295,0.602,FALSE,kh9t8y,0.1,1,0.09,-5.61,1,Bekhayali,84,0.072,85.7
0.41,2015,0.608,Arijit Singh,0.76,250271,0.684,TRUE,vv3h00,0.119,0,0.194,-6.06,0,Vaaste,97,0.042,71.7
0.41,2017,0.062,Arijit Singh,0.864,276752,0.676,FALSE,6u5w6c,0.025,8,0.149,-3.25,0,Vaaste,89,0.026,84.62
0.35,2022,0.292,Atif Aslam,0.824,285864,0.751,FALSE,2z8yxm,0.012,6,0.175,-3.61,0,Dilbar,57,0.076,125.71
0.47,2013,0.554,Atif Aslam,0.564,232921,0.671,FALSE,vfo6he,0.069,5,0.063,-5.75,0,Dilbar,84,0.071,120.83
